name,symbol,fullname,Second
AT4G21800,QQT2,quatre-quart2,NA
AT4G21810,DER2.1,DERLIN-2.1,NA
AT4G21830,ATMSRB7,methionine sulfoxide reductase B7, MSRB7--methionine sulfoxide reductase B7
AT4G21840,ATMSRB8,methionine sulfoxide reductase B8, MSRB8--methionine sulfoxide reductase B8
AT4G21850,ATMSRB9,methionine sulfoxide reductase B9, MSRB9--methionine sulfoxide reductase B9
AT4G21860,MSRB2,methionine sulfoxide reductase B 2,NA
AT4G21900,PRORP3,proteinaceous RNase P 3,NA
AT4G21940,CPK15,calcium-dependent protein kinase 15,NA
AT4G21960,PRXR1,"NA",NA
AT4G21980,APG8A,AUTOPHAGY 8A, ATG8A--AUTOPHAGY-RELATED 8A
AT4G21990,APR3,APS reductase 3," ATAPR3--NA,   PRH-26--NA,   PRH26--PAPS REDUCTASE HOMOLOG 26"
AT4G22010,sks4,SKU5  similar 4,NA
AT4G22030,AtFDB27,F-Box/DUF295 Brassiceae-specific 27,NA
AT4G22035,AtFDB28,F-Box/DUF295 Brassiceae-specific 28,NA
AT4G22060,AtFDB29,F-Box/DUF295 Brassiceae-specific 29,NA
AT4G22070,ATWRKY31,"NA", WRKY31--WRKY DNA-binding protein 31
AT4G22080,RHS14,root hair specific 14,NA
AT4G22100,BGLU3,beta glucosidase 2,NA
AT4G22105,SCRL26,SCR-like 26,NA
AT4G22115,SCRL14,SCR-like 14,NA
AT4G22120,CSC1,Calcium permeable Stress-gated cation Channel 1, OSCA1.2--NA
AT4G22130,SRF8,STRUBBELIG-receptor family 8,NA
AT4G22140,EBS,EARLY BOLTING IN SHORT DAYS,NA
AT4G22150,PUX3,plant UBX domain-containing protein 3,NA
AT4G22165,AtFDB30,F-Box/DUF295 Brassiceae-specific 30,NA
AT4G22170,AtFDB31,F-Box/DUF295 Brassiceae-specific 31,NA
AT4G22180,AtFDB32,F-Box/DUF295 Brassiceae-specific 32,NA
AT4G22200,AKT2,"NA"," AKT2/3--potassium transport 2/3,   AKT3--NA,   KT2/3--potassium transport 2/3"
AT4G22210,LCR85,low-molecular-weight cysteine-rich 85,NA
AT4G22220,ATISU1,"NA", ISU1--NA
AT4G22240,FBN1b,fibrillin 1b,NA
AT4G22260,IM,IMMUTANS," IM1--NA,   PTOX--plastid terminal oxidase"
AT4G22270,ATMRB1,ARABIDOPSIS MEMBRANE RELATED BIGGER1, MRB1--MEMBRANE RELATED BIGGER1
AT4G22290,SHOU4L2,"NA",NA
AT4G22300,TIPSY1,"NA",NA
AT4G22305,SOBER1,SUPPRESSOR OF AVRBST-ELICITED RESISTANCE 1,NA
AT4G22310,MPC3,mitochondrial pyruvate carrier 3,NA
AT4G22330,AtACER,CERAMIDASE, ATCES1--NA
AT4G22340,CDS2,cytidinediphosphate diacylglycerol synthase 2,NA
AT4G22540,ORP2A,OSBP(oxysterol binding protein)-related protein 2A,NA
AT4G22550,LPPbeta,lipid phosphate phosphatase beta,NA
AT4G22570,APT3,adenine phosphoribosyl transferase 3,NA
AT4G22590,TPPG,trehalose-6-phosphate phosphatase G,NA
AT4G22600,INP1,INAPERTURATE POLLEN1,NA
AT4G22620,SAUR34,SMALL AUXIN UPREGULATED RNA 34,NA
AT4G22660,AtFDB33,F-Box/DUF295 Brassiceae-specific 33,NA
AT4G22670,AtHip1,HSP70-interacting protein 1," HIP1--HSP70-interacting protein 1,   TPR11--tetratricopeptide repeat 11"
AT4G22680,AtMYB85,myb domain protein 85, MYB85--myb domain protein 85
AT4G22690,CYP706A1,"cytochrome P450, family 706, subfamily A, polypeptide 1",NA
AT4G22700,LBD32,LOB domain-containing protein 32,NA
AT4G22710,CYP706A2,"cytochrome P450, family 706, subfamily A, polypeptide 2",NA
AT4G22745,MBD1,methyl-CPG-binding domain 1,NA
AT4G22750,PAT13,protein acyltransferase 13,NA
AT4G22756,ATSMO1-2,"NA", SMO1-2--sterol C4-methyl oxidase 1-2
AT4G22770,AHL2,AT-hook motif nuclear localized protein 2,NA
AT4G22780,ACR7,ACT domain repeat 7,NA
AT4G22790,RHC1,RESISTANT TO HIGH CO2,NA
AT4G22810,AHL24,AT-hook motif nuclear localized protein 24,NA
AT4G22820,AtSAP9,Stress Associated Protein 9, SAP9--Stress Associated Protein 9
AT4G22840,BASS6,Bile Acid Sodium Symporter 6,NA
AT4G22860,TPXL3,TPX2-LIKE PROTEIN 3,NA
AT4G22880,ANS,ANTHOCYANIDIN SYNTHASE," LDOX--leucoanthocyanidin dioxygenase,   TDS4--TANNIN DEFICIENT SEED 4,   TT18--NA"
AT4G22890,PGR5-LIKE A,"NA",NA
AT4G22910,CCS52A1,cell cycle switch protein 52  A1, FZR2--FIZZY-related 2
AT4G22920,ATNYE1,NON-YELLOWING 1," NYE1--NON-YELLOWING 1,   SGR--STAY-GREEN,   SGR1--STAY-GREEN 1"
AT4G22930,DHOASE,DIHYDROOROTASE, PYR4--pyrimidin 4
AT4G22950,AGL19,AGAMOUS-like 19, GL19--NA
AT4G22970,AESP,homolog of separase," ESP--EXTRA SPINDLE POLES,   ESP--homolog of separase,   RSW4--RADIALLY SWOLLEN 4"
AT4G22990,PHT5;3,"NA",NA
AT4G23010,ATUTR2,"NA", UTR2--UDP-galactose transporter 2
AT4G23020,TRM11,TON1 Recruiting Motif 11,NA
AT4G23060,IQD22,IQ-domain 22,NA
AT4G23070,ATRBL7,RHOMBOID-like protein 7, RBL7--RHOMBOID-like protein 7
AT4G23100,ATECS1,"NA"," AtGSH1--NA,   CAD2--CADMIUM SENSITIVE 2,   GSH1--glutamate-cysteine ligase,   GSHA--NA,   PAD2--PHYTOALEXIN DEFICIENT 2,   RML1--ROOT MERISTEMLESS 1"
AT4G23110,EFC,EARLY FLOWERING AND CURLY LEAVES, TCO--TACO LEAF
AT4G23130,CRK5,cysteine-rich RLK (RECEPTOR-like protein kinase) 5, RLK6--RECEPTOR-LIKE PROTEIN KINASE 6
AT4G23140,CRK6,cysteine-rich RLK (RECEPTOR-like protein kinase) 6,NA
AT4G23150,CRK7,cysteine-rich RLK (RECEPTOR-like protein kinase) 7,NA
AT4G23160,CRK8,cysteine-rich RLK (RECEPTOR-like protein kinase) 8,NA
AT4G23170,CRK9,CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 9, EP1--NA
AT4G23180,CRK10,cysteine-rich RLK (RECEPTOR-like protein kinase) 10, RLK4--NA
AT4G23190,AT-RLK3,RECEPTOR LIKE PROTEIN KINASE 3, CRK11--cysteine-rich RLK (RECEPTOR-like protein kinase) 11
AT4G23200,CRK12,cysteine-rich RLK (RECEPTOR-like protein kinase) 12,NA
AT4G23210,CRK13,cysteine-rich RLK (RECEPTOR-like protein kinase) 13,NA
AT4G23220,CRK14,cysteine-rich RLK (RECEPTOR-like protein kinase) 14,NA
AT4G23230,CRK15,cysteine-rich RLK (RECEPTOR-like protein kinase) 15,NA
AT4G23240,CRK16,cysteine-rich RLK (RECEPTOR-like protein kinase) 16,NA
AT4G23250,CRK17,CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 17," DUF26-21--NA,   EMB1290--EMBRYO DEFECTIVE 1290,   RKC1--RECEPTOR-LIKE KINASE THALIANACOL-0GENOMICLIBRARY(CLONTECH).THEPOSITIVEPHAGECLONES C-X8-C-X2-C CLASS 1"
AT4G23260,CRK18,cysteine-rich RLK (RECEPTOR-like protein kinase) 18,NA
AT4G23270,CRK19,cysteine-rich RLK (RECEPTOR-like protein kinase) 19,NA
AT4G23280,CRK20,cysteine-rich RLK (RECEPTOR-like protein kinase) 20,NA
AT4G23290,CRK21,cysteine-rich RLK (RECEPTOR-like protein kinase) 21,NA
AT4G23300,CRK22,cysteine-rich RLK (RECEPTOR-like protein kinase) 22,NA
AT4G23310,CRK23,cysteine-rich RLK (RECEPTOR-like protein kinase) 23,NA
AT4G23320,CRK24,cysteine-rich RLK (RECEPTOR-like protein kinase) 24,NA
AT4G23375,MIR845B,microRNA845B,NA
AT4G23387,MIR845A,microRNA845A,NA
AT4G23400,PIP1;5,plasma membrane intrinsic protein 1;5, PIP1D--NA
AT4G23410,TET5,tetraspanin5,NA
AT4G23430,AtTic32-IVa,translocon at the inner envelope membrane of chloroplasts 32-IVa, Tic32-IVa--translocon at the inner envelope membrane of chloroplasts 32-IVa
AT4G23450,AIRP1,ABA Insensitive RING Protein 1, AtAIRP1--NA
AT4G23496,SP1L5,SPIRAL1-like5,NA
AT4G23550,ATWRKY29,"NA", WRKY29--NA
AT4G23560,AtGH9B15,glycosyl hydrolase 9B15, GH9B15--glycosyl hydrolase 9B15
AT4G23570,SGT1A,"NA",NA
AT4G23600,CORI3,CORONATINE INDUCED 1, JR2--JASMONIC ACID RESPONSIVE 2
AT4G23630,BTI1,VIRB2-interacting protein 1," RTN1--reticulon 1,   RTNLB1--Reticulan like protein B1"
AT4G23640,ATKT3,"NA"," KUP4--NA,   TRH1--TINY ROOT HAIR 1"
AT4G23650,AtCDPK6,"NA"," CDPK6--calcium-dependent protein kinase 6,   CPK3--Calcium dependent protein kinase 3"
AT4G23660,AtPPT1,polyprenyltransferase 1, PPT1--polyprenyltransferase 1
AT4G23690,AtDIR6,Arabidopsis thaliana dirigent protein 6, DIR6--dirigent protein 6
AT4G23700,ATCHX17,cation/H+ exchanger 17, CHX17--cation/H+ exchanger 17
AT4G23710,VAG2,vacuolar ATP synthase subunit G2," VATG2--VACUOLAR ATP SYNTHASE SUBUNIT G2,   VHA-G2--NA"
AT4G23712,miPEP319a,miPEP319a,NA
AT4G23713,JAW,JAGGED AND WAVY," MIR319--MICRORNA 319,   MIR319A--microRNA319A"
AT4G23750,CRF2,cytokinin response factor 2, TMO3--TARGET OF MONOPTEROS 3
AT4G23790,MOAT2,mannan O-acetyltransferas 2, TBL24--TRICHOME BIREFRINGENCE-LIKE 24
AT4G23800,3xHMG-box2,3xHigh Mobility Group-box2,NA
AT4G23810,ATWRKY53,"NA", WRKY53--NA
AT4G23850,LACS4,long-chain acyl-CoA synthetase 4,NA
AT4G23890,CRR31,CHLORORESPIRATORY REDUCTION 31, NdhS--NADH dehydrogenase-like complex S
AT4G23910,UIEF2,UAP56-interacting export factor 2,NA
AT4G23920,ATUGE2,UDP-GLC 4-EPIMERASE 2, UGE2--UDP-D-glucose/UDP-D-galactose 4-epimerase 2
AT4G23940,ARC1,ACCUMULATION AND REPLICATION OF CHLOROPLASTS 1, FtsHi1--FTSH inactive protease 1
AT4G23950,AtSUN5,"NA", SUN5--SUN-domain protein 5
AT4G23980,ARF9,auxin response factor 9,NA
AT4G23990,ATCSLG3,ARABIDOPSIS THALIANA CELLULOSE SYNTHASE-LIKE G3, CSLG3--cellulose synthase like G3
AT4G24000,ATCSLG2,ARABIDOPSIS THALIANA CELLULOSE SYNTHASE LIKE G2, CSLG2--cellulose synthase like G2
AT4G24010,ATCSLG1,ARABIDOPSIS THALIANA CELLULOSE SYNTHASE LIKE G1, CSLG1--cellulose synthase like G1
AT4G24020,NLP7,NIN like protein 7,NA
AT4G24040,ATTRE1,"NA", TRE1--trehalase 1
AT4G24080,ALL1,aldolase like,NA
AT4G24120,ATYSL1,YELLOW STRIPE LIKE 1, YSL1--YELLOW STRIPE like 1
AT4G24150,AtGRF8,growth-regulating factor 8, GRF8--growth-regulating factor 8
AT4G24180,ATTLP1,"NA", TLP1--THAUMATIN-LIKE PROTEIN 1
AT4G24190,AtHsp90-7,HEAT SHOCK PROTEIN 90-7," AtHsp90.7--HEAT SHOCK PROTEIN 90.7,   HSP90.7--HEAT SHOCK PROTEIN 90.7,   SHD--SHEPHERD"
AT4G24210,SLY1,SLEEPY1,NA
AT4G24220,5[beta]-StR,"&#916;4,5-steroid-5[beta]-reductase"," AWI31--NA,   VEP1--VEIN PATTERNING 1"
AT4G24230,ACBP3,acyl-CoA-binding domain 3,NA
AT4G24240,ATWRKY7,"NA", WRKY7--WRKY DNA-binding protein 7
AT4G24250,ATMLO13,MILDEW RESISTANCE LOCUS O 13, MLO13--MILDEW RESISTANCE LOCUS O 13
AT4G24260,ATGH9A3,glycosyl hydrolase 9A3," AtKOR3--NA,   GH9A3--glycosyl hydrolase 9A3,   KOR3--NA"
AT4G24270,EMB140,EMBRYO DEFECTIVE 140,NA
AT4G24280,cpHsc70-1,chloroplast heat shock protein 70-1,NA
AT4G24310,DMP3,DUF679 domain membrane protein 3,NA
AT4G24370,PROS,positive regulator of SKD1,NA
AT4G24390,AFB4,auxin signaling F-box 4,NA
AT4G24400,ATCIPK8,"NA"," CIPK8--CBL-interacting protein kinase 8,   PKS11--PROTEIN KINASE 11,   SnRK3.13--SNF1-RELATED PROTEIN KINASE 3.13"
AT4G24415,MIR824A,microRNA824A,NA
AT4G24450,At4g24450,"NA"," ATGWD2--NA,   GWD3--NA,   PWD--phosphoglucan, water dikinase"
AT4G24460,CLT2,CRT (chloroquine-resistance transporter)-like transporter 2,NA
AT4G24470,AtTIFY1,"NA"," GATA25--GATA TRANSCRIPTION FACTOR 25,   TIFY1--NA,   ZIM--Zinc-finger protein expressed in Inflorescence Meristem"
AT4G24490,ATRGTA1,RAB geranylgeranyl transferase alpha subunit 1, RGTA1--RAB geranylgeranyl transferase alpha subunit 1
AT4G24500,RON3,Rotunda3," SIC--SICKLE,   WARP2--WARP ACUTE RESPONSE OF PRR7 2"
AT4G24510,CER2,ECERIFERUM 2," VC-2--NA,   VC2--NA"
AT4G24520,AR1,ARABIDOPSIS CYTOCHROME REDUCTASE," AtCPR1--ARABIDOPSIS THALIANA CYTOCHROME REDUCTASE 1,   ATR1--P450 reductase 1"
AT4G24540,AGL24,AGAMOUS-like 24,NA
AT4G24550,AP4M,adaptor protein-4 mu-adaptin,NA
AT4G24560,UBP16,ubiquitin-specific protease 16,NA
AT4G24570,DIC2,dicarboxylate carrier 2, UCP4--PLANT UNCOUPLING MITOCHONDRIAL PROTEIN 4
AT4G24580,REN1,ROP1 ENHANCER 1,NA
AT4G24620,PGI,"NA", PGI1--phosphoglucose isomerase 1
AT4G24640,APPB1,"NA",NA
AT4G24650,ATIPT4,ARABIDOPSIS THALIANA ISOPENTENYLTRANSFERASE 4, IPT4--isopentenyltransferase 4
AT4G24660,ATHB22,HOMEOBOX PROTEIN 22," HB22--homeobox protein 22,   MEE68--MATERNAL EFFECT EMBRYO ARREST 68,   ZHD2--ZINC FINGER HOMEODOMAIN 2"
AT4G24670,AtTAR2,"NA", TAR2--tryptophan aminotransferase related 2
AT4G24680,MOS1,MODIFIER OF snc1,NA
AT4G24690,AtNBR1,Arabidopsis thaliana next to BRCA1 gene 1, NBR1--next to BRCA1 gene 1
AT4G24710,PCH2,"NA",NA
AT4G24740,AFC2,FUS3-complementing gene 2," AME1--NA,   FC2--FUS3-complementing gene 2"
AT4G24770,ATRBP31,"ARABIDOPSIS THALIANA RNA BINDING PROTEIN, APPROXIMATELY 31 KD"," ATRBP33--NA,   CP31--NA,   RBP31--31-kDa RNA binding protein"
AT4G24780,PLL19,"NA",NA
AT4G24800,ECIP1,EIN2 C-terminus Interacting Protein 1, MRF3--MA3 domain-containing translation regulatory factor 3
AT4G24840,COG2,Conserved Oligomeric Golgi Complex 2,NA
AT4G24890,ATPAP24,ARABIDOPSIS THALIANA PURPLE ACID PHOSPHATASE 24, PAP24--purple acid phosphatase 24
AT4G24900,TTL,TITAN-like,NA
AT4G24940,AT-SAE1-1,"NA"," ATSAE1A--SUMO-ACTIVATING ENZYME 1A,   SAE1A--SUMO-activating enzyme 1A"
AT4G24950,SINE4,"NA",NA
AT4G24960,ATHVA22D,ARABIDOPSIS THALIANA HVA22 HOMOLOGUE D, HVA22D--HVA22 homologue D
AT4G24970,AtMORC7,"NA",NA
AT4G24972,TPD1,TAPETUM DETERMINANT 1,NA
AT4G24980,UMAMIT16-psi,Usually multiple acids move in and out Transporters 16-pseudogene,NA
AT4G24990,ATGP4,"NA", MUB3--NA
AT4G25000,AMY1,alpha-amylase-like, ATAMY1--NA
AT4G25010,AtSWEET14,"NA", SWEET14--NA
AT4G25030,AtNHR2B,NON HOST RESISTANCE 2B,NA
AT4G25040,CASPL1F1,CASP-like protein 1F1,NA
AT4G25050,ACP4,acyl carrier protein 4, AtACP4--NA
AT4G25080,CHLM,magnesium-protoporphyrin IX methyltransferase,NA
AT4G25090,AtRbohG,"NA",NA
AT4G25100,ATFSD1,ARABIDOPSIS FE SUPEROXIDE DISMUTASE 1, FSD1--Fe superoxide dismutase 1
AT4G25110,AtMC2,metacaspase 2," AtMCP1c--metacaspase 1c,   MC2--metacaspase 2,   MCP1c--metacaspase 1c"
AT4G25120,ATSRS2,ARABIDOPSIS THALIANA SUPPRESSOR OF RAD SIX-SCREEN MUTANT 2, SRS2--SUPPRESSOR OF RAD SIX-SCREEN MUTANT 2
AT4G25130,MSRA4,methionine sulfoxide reductase A4, PMSR4--peptide met sulfoxide reductase 4
AT4G25140,OLE1,OLEOSIN 1, OLEO1--oleosin 1
AT4G25160,PUB35,"NA",NA
AT4G25190,QWRF7,QWRF domain containing 7,NA
AT4G25200,ATHSP23.6-MITO,mitochondrion-localized small heat shock protein 23.6, HSP23.6-MITO--mitochondrion-localized small heat shock protein 23.6
AT4G25220,AtG3Pp2,glycerol-3-phosphate permease 2," G3Pp2--glycerol-3-phosphate permease 2,   RHS15--root hair specific 15"
AT4G25230,RIN2,RPM1 interacting protein 2,NA
AT4G25240,SKS1,SKU5 similar 1,NA
AT4G25250,PMEI4,pectinmethylesterase inhibitor 4,NA
AT4G25260,PMEI7,Pectin Methylesterase Inihibitor 7,NA
AT4G25270,OTP70,organelle transcript processing 70,NA
AT4G25320,AHL3,AT-HOOK MOTIF NUCLEAR LOCALIZED PROTEIN 3,NA
AT4G25340,ATFKBP53,"NA", FKBP53--FK506 BINDING PROTEIN 53
AT4G25350,SHB1,SHORT HYPOCOTYL UNDER BLUE1,NA
AT4G25360,TBL18,TRICHOME BIREFRINGENCE-LIKE 18,NA
AT4G25370,ClpT1,"NA",NA
AT4G25380,AtSAP10,Arabidopsis thaliana stress-associated protein 10, SAP10--stress-associated protein 10
AT4G25420,AT2301,"NA"," ATGA20OX1--ARABIDOPSIS THALIANA GIBBERELLIN 20-OXIDASE 1,   GA20OX1--gibberellin 20 oxidase 1,   GA5--GA REQUIRING 5"
AT4G25430,TRM23,TON1 Recruiting Motif 23,NA
AT4G25434,ATNUDT10,nudix hydrolase homolog 10, NUDT10--nudix hydrolase homolog 10
AT4G25440,ZFWD1,zinc finger WD40 repeat protein 1,NA
AT4G25450,ABCB28,ATP-binding cassette B28," ATNAP8--ARABIDOPSIS THALIANA NON-INTRINSIC ABC PROTEIN 8,   NAP8--non-intrinsic ABC protein 8"
AT4G25470,ATCBF2,"NA"," CBF2--C-repeat/DRE binding factor 2,   DREB1C--DRE/CRT-BINDING PROTEIN 1C,   FTQ4--FREEZING TOLERANCE QTL 4"
AT4G25480,ATCBF3,"NA"," CBF3--C-REPEAT BINDING FACTOR  3,   DREB1A--dehydration response element B1A"
AT4G25490,ATCBF1,"NA"," CBF1--C-repeat/DRE binding factor 1,   DREB1B--DRE BINDING PROTEIN 1B"
AT4G25500,At-RS40,arginine/serine-rich splicing factor 40," AT-SRP40--NA,   ATRSP35--ARABIDOPSIS THALIANA ARGININE/SERINE-RICH SPLICING FACTOR 35,   ATRSP40--NA,   RS40--arginine/serine-rich splicing factor 40,   RSP35--arginine/serine-rich splicing factor 35"
AT4G25515,SLK3,SEUSS-like 3,NA
AT4G25520,SLK1,SEUSS-like 1,NA
AT4G25530,FWA,FLOWERING WAGENINGEN, HDG6--HOMEODOMAIN GLABROUS 6
AT4G25540,ATMSH3,"NA", MSH3--homolog of DNA mismatch repair protein MSH3
AT4G25550,IRP9,INVOLVED IN rRNA PROCESSING 9,NA
AT4G25560,AtMYB18,myb domain protein 18," LAF1--LONG AFTER FAR-RED LIGHT 1,   MYB18--myb domain protein 18"
AT4G25570,ACYB-2,"NA",NA
AT4G25590,ADF7,actin depolymerizing factor 7,NA
AT4G25630,ATFIB2,"NA", FIB2--fibrillarin 2
AT4G25631,U60.2F,"NA",NA
AT4G25640,ATDTX35,detoxifying efflux carrier 35," DTX35--detoxifying efflux carrier 35,   FFT--FLOWER FLAVONOID TRANSPORTER"
AT4G25650,ACD1-LIKE,ACD1-like," PTC52--PROTOCHLOROPHYLLIDE-DEPENDENT TRANSLOCON COMPONENT, 52 KDA,   TIC55-IV--TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS, 55 KDA - IV"
AT4G25700,B1,"NA"," BCH1--BETA CAROTENOID HYDROXYLASE 1,   BETA-OHASE 1--beta-hydroxylase 1,   chy1--NA"
AT4G25720,ATQC,ARABIDOPSIS THALIANA GLUTAMINYL CYCLASE," QC--glutaminyl cyclase,   QCT--GLUTAMINYL CYCLOTRANSFERASE"
AT4G25730,AtTRM7b,"NA", TRM7b--tRNA methyltransferase 7b
AT4G25750,ABCG4,ATP-binding cassette G4,NA
AT4G25760,ATGDU2,glutamine dumper 2, GDU2--glutamine dumper 2
AT4G25780,AtCAPE2,"NA",NA
AT4G25790,AtCAPE4,"NA",NA
AT4G25810,XTH23,xyloglucan endotransglucosylase/hydrolase 23, XTR6--xyloglucan endotransglycosylase 6
AT4G25820,ATXTH14,"NA"," XTH14--xyloglucan endotransglucosylase/hydrolase 14,   XTR9--xyloglucan endotransglycosylase 9"
AT4G25830,CASPL2C1,CASP-like protein 2C1,NA
AT4G25840,GPP1,glycerol-3-phosphatase 1, PyrP3--NA
AT4G25850,ORP4B,OSBP(oxysterol binding protein)-related protein 4B,NA
AT4G25860,ORP4A,OSBP(oxysterol binding protein)-related protein 4A,NA
AT4G25880,APUM6,pumilio 6, PUM6--pumilio 6
AT4G25910,ATCNFU3,"NA", NFU3--NFU domain protein 3
AT4G25920,AtDOA9,DUF295 Organellar A 9,NA
AT4G25930,AtDOA10,DUF295 Organellar A 10,NA
AT4G25940,PICALM2b,"NA",NA
AT4G25950,VATG3,vacuolar ATP synthase G3,NA
AT4G25960,ABCB2,ATP-binding cassette B2, PGP2--P-glycoprotein 2
AT4G25970,PSD3,phosphatidylserine decarboxylase 3,NA
AT4G25990,CIL,"NA",NA
AT4G26000,PEP,PEPPER,NA
AT4G26050,PIRL8,plant intracellular ras group-related LRR 8,NA
AT4G26070,ATMEK1,"NA"," MEK1--MAP kinase/ ERK kinase 1,   MKK1--MITOGEN ACTIVATED PROTEIN KINASE KINASE 1,   NMAPKK--NA"
AT4G26080,ABI1,ABA INSENSITIVE 1, AtABI1--NA
AT4G26090,RPS2,RESISTANT TO P. SYRINGAE 2,NA
AT4G26100,CK1,casein kinase 1, CKL1--NA
AT4G26110,ATNAP1;1,ARABIDOPSIS THALIANA NUCLEOSOME ASSEMLY PROTEIN 1;1, NAP1;1--nucleosome assembly protein1;1
AT4G26140,BGAL12,beta-galactosidase 12,NA
AT4G26150,CGA1,cytokinin-responsive gata factor 1," GATA22--GATA TRANSCRIPTION FACTOR 22,   GNL--GNC-LIKE"
AT4G26160,ACHT1,atypical CYS  HIS rich thioredoxin 1,NA
AT4G26170,ET1,EFFECTOR OF TRANSCRIPTION 1,NA
AT4G26180,CoAc2,CoA Carrier 2,NA
AT4G26200,ACCS7,1-amino-cyclopropane-1-carboxylate synthase 7," ACS7--1-amino-cyclopropane-1-carboxylate synthase 7,   ATACS7--NA"
AT4G26220,CCoAOMT7,caffeoyl coenzyme A ester O-methyltransferase 7,NA
AT4G26250,AtGolS6,galactinol synthase 6, GolS6--galactinol synthase 6
AT4G26260,MIOX4,myo-inositol oxygenase 4,NA
AT4G26270,PFK3,phosphofructokinase 3,NA
AT4G26300,emb1027,embryo defective 1027,NA
AT4G26320,AGP13,arabinogalactan protein 13,NA
AT4G26330,ATSBT3.18,"NA", UNE17--UNFERTILIZED EMBRYO SAC 17
AT4G26410,RHIP1,RGS1-HXK1 INTERACTING PROTEIN 1,NA
AT4G26420,AtGAMT1,"NA", GAMT1--gibberellin methyltransferase 1
AT4G26430,CSN6B,COP9 signalosome subunit 6B,NA
AT4G26440,ATWRKY34,"NA"," MSP3--MICROSPORE-SPECIFIC  PROMOTER 3,   WRK34--WRK protein 34,   WRKY34--WRKY DNA-binding protein 34"
AT4G26455,AtWIP1,Arabidopsis thaliana WPP domain interacting protein 1, WIP1--WPP domain interacting protein 1
AT4G26466,LRE,LORELEI,NA
AT4G26500,ATSUFE,ARABIDOPSIS THALIANA SULFUR E," BolA1--homolog of E.coli BolA 1,   CPSUFE--chloroplast sulfur E,   EMB1374--MBRYO DEFECTIVE 1374,   SUFE1--SULFUR E 1"
AT4G26510,UCK4,uridine/cytidine kinase 4, UKL4--uridine kinase-like 4
AT4G26520,AtFBA7,"NA", FBA7--fructose-bisphosphate aldolase 7
AT4G26530,AtFBA5,"NA", FBA5--fructose-bisphosphate aldolase 5
AT4G26540,RGFR3,"NA", RGI3--RGF1 INSENSITIVE 3
AT4G26560,CBL7,calcineurin B-like protein 7, SCaBP3--(SOS3-LIKE CALCIUM BINDING PROTEIN 3
AT4G26570,ATCBL3,calcineurin B-like 3, CBL3--calcineurin B-like 3
AT4G26590,ATOPT5,ARABIDOPSIS THALIANA OLIGOPEPTIDE TRANSPORTER 5, OPT5--oligopeptide transporter 5
AT4G26600,AtTRM4d,"NA"," NOP2B--NA,   TRM4d--tRNA methyltransferase 4d"
AT4G26610,AGC1-2,"NA", D6PKL1--D6 protein kinase like 1
AT4G26630,DEK3,DEK-domain containing protein 3,NA
AT4G26640,AtWRKY20,"NA", WRKY20--NA
AT4G26670,HP20,hypothetical protein 20,NA
AT4G26690,GDPDL3,Glycerophosphodiester phosphodiesterase (GDPD) like 3," GPDL2--GLYCEROPHOSPHODIESTERASE-LIKE 2,   MRH5--MUTANT ROOT HAIR 5,   SHV3--SHAVEN 3"
AT4G26700,ATFIM1,ARABIDOPSIS THALIANA FIMBRIN 1, FIM1--fimbrin 1
AT4G26720,PP4-1,PP4 catalytic (PP4c) subunit 1," PPX-1--PROTEIN PHOSPHATASE X-1,   PPX1--protein phosphatase X 1"
AT4G26740,AtCLO1,"NA"," ATPXG1--ARABIDOPSIS THALIANA PEROXYGENASE 1,   ATS1--seed gene 1,   CLO1--CALEOSIN1"
AT4G26750,EXT-like,extensin-like, LIP5--homolog of mammalian LYST-INTERACTING PROTEIN5
AT4G26760,MAP65-2,microtubule-associated protein 65-2,NA
AT4G26780,AR192,"NA", MGE2--mitochondrial GrpE 2
AT4G26840,ATSUMO1,ARABIDOPSIS THALIANA SMALL UBIQUITIN-LIKE MODIFIER 1," SUM1--SMALL UBIQUITIN-LIKE MODIFIER 1,   SUMO 1--SMALL UBIQUITIN-LIKE MODIFIER 1,   SUMO1--small ubiquitin-like modifier 1"
AT4G26850,GGP,GDP-l-galactose phosphorylase, VTC2--vitamin c defective 2
AT4G26890,MAPKKK16,mitogen-activated protein kinase kinase kinase 16,NA
AT4G26900,AT-HF,HIS HF, HISN4--NA
AT4G26930,AtMYB97,myb domain protein 97, MYB97--myb domain protein 97
AT4G26970,ACO2,aconitase 2,NA
AT4G27000,ATRBP45C,"NA",NA
AT4G27010,EMB2788,EMBRYO DEFECTIVE 2788,NA
AT4G27030,FAD4,FATTY ACID DESATURASE 4, FADA--fatty acid desaturase A
AT4G27040,VPS22,"NA",NA
AT4G27060,CN,CONVOLUTA," SPR2--SPIRAL 2,   TOR1--TORTIFOLIA 1"
AT4G27070,TSB2,tryptophan synthase beta-subunit 2,NA
AT4G27080,ATPDI7,ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 7," ATPDIL5-4--PDI-like 5-4,   PDI7--PROTEIN DISULFIDE ISOMERASE 7,   PDIL5-4--PDI-like 5-4"
